my,week,value_x,value_y
,,mean,mean
02/2013,Week2,96.93959999999997,3.7347499999999996
02/2013,Week3,95.22799999999998,3.73475
02/2013,Week4,92.73599999999999,3.7347499999999996
02/2014,Week1,97.744,3.471000000000001
02/2014,Week2,100.1972,3.471000000000001
02/2014,Week3,102.57750000000003,3.471
02/2014,Week4,102.446,3.471000000000001
02/2015,Week1,50.64800000000001,2.333
02/2015,Week2,51.142,2.333
02/2015,Week3,52.092999999999996,2.333
02/2015,Week4,49.52999999999999,2.333
02/2016,Week1,31.192500000000003,1.9242000000000001
02/2016,Week2,28.146000000000008,1.9242
02/2016,Week3,30.675999999999995,1.9242000000000001
02/2016,Week4,32.77133333333333,1.9241999999999997
02/2017,Week1,53.13749999999999,2.48
02/2017,Week2,53.065999999999995,2.4799999999999995
02/2017,Week3,53.657,2.48
02/2017,Week4,54.017999999999994,2.4799999999999995
02/2018,Week1,63.694999999999986,2.7607500000000003
02/2018,Week2,59.882400000000004,2.7607500000000007
02/2018,Week3,61.59149999999998,2.7607500000000003
02/2018,Week4,62.97600000000001,2.7607500000000007
02/2019,Week1,53.71749999999999,2.5309999999999997
02/2019,Week2,53.3232,2.5309999999999997
02/2019,Week3,56.531000000000006,2.5309999999999997
02/2019,Week4,56.48000000000002,2.5309999999999997
02/2020,Week1,50.34800000000003,2.6955000000000005
02/2020,Week2,50.840799999999994,2.6955000000000005
02/2020,Week3,53.199,2.6955000000000005
02/2020,Week4,48.382000000000005,2.6955000000000005
03/2011,Week1,103.50000000000001,3.616499999999999
03/2011,Week2,102.89000000000003,3.6165
03/2011,Week3,100.18840000000003,3.6165
03/2011,Week4,105.16074999999998,3.6165000000000007
03/2012,Week1,106.07000000000004,3.8807499999999995
03/2012,Week2,106.492,3.88075
03/2012,Week3,106.82120000000002,3.88075
03/2012,Week4,105.39857142857146,3.8807499999999995
03/2013,Week1,90.7325,3.78425
03/2013,Week2,92.41999999999999,3.78425
03/2013,Week3,93.12600000000002,3.78425
03/2013,Week4,95.73399999999998,3.78425
03/2014,Week1,102.76799999999999,3.6275999999999997
03/2014,Week2,99.24599999999998,3.6275999999999997
03/2014,Week3,99.09520000000002,3.6275999999999997
03/2014,Week4,100.59666666666666,3.6276
03/2015,Week1,50.40199999999997,2.5278000000000005
03/2015,Week2,47.66999999999998,2.5278000000000005
03/2015,Week3,44.88880000000002,2.5278000000000005
03/2015,Week4,48.67857142857141,2.527800000000001
03/2016,Week1,35.762499999999996,2.1225000000000005
03/2016,Week2,37.66199999999999,2.1225
03/2016,Week3,39.51,2.1225
03/2016,Week4,39.29,2.1224999999999996
03/2017,Week1,53.07,2.497
03/2017,Week2,48.834,2.497
03/2017,Week3,48.6788,2.497
03/2017,Week4,48.78374999999998,2.497
03/2018,Week1,61.8925,2.7602500000000005
03/2018,Week2,61.03800000000001,2.7602500000000005
03/2018,Week3,62.870799999999996,2.7602500000000005
03/2018,Week4,65.05000000000001,2.7602500000000005
03/2019,Week1,56.5075,2.72025
03/2019,Week2,57.31999999999999,2.72025
03/2019,Week3,59.42040000000001,2.72025
03/2019,Week4,59.44166666666667,2.72025
03/2020,Week1,45.577999999999996,2.5033999999999996
03/2020,Week2,32.34000000000001,2.5033999999999996
03/2020,Week3,24.900800000000004,2.5033999999999996
03/2020,Week4,22.362857142857155,2.5034000000000014
04/2010,Week2,84.78749999999998,2.92125
04/2010,Week3,83.8956,2.92125
04/2010,Week4,84.28571428571432,2.92125
04/2011,Week1,108.98499999999999,3.8454999999999995
04/2011,Week2,108.85959999999997,3.845499999999999
04/2011,Week3,109.86800000000001,3.845499999999999
04/2011,Week4,112.80799999999999,3.845499999999999
04/2012,Week1,103.505,3.9506
04/2012,Week2,102.53,3.9505999999999997
04/2012,Week3,103.26439999999997,3.9505999999999997
04/2012,Week4,104.18833333333326,3.9505999999999992
04/2013,Week1,94.40000000000002,3.6360000000000006
04/2013,Week2,93.40000000000002,3.636
04/2013,Week3,88.0344,3.636
04/2013,Week4,92.04485714285718,3.6359999999999997
04/2014,Week1,100.37250000000002,3.7552499999999998
04/2014,Week2,103.47,3.75525
04/2014,Week3,103.80750000000003,3.7552499999999998
04/2014,Week4,101.09514285714283,3.75525
04/2015,Week1,51.75333333333333,2.55925
04/2015,Week2,51.60999999999999,2.55925
04/2015,Week3,56.67439999999999,2.55925
04/2015,Week4,57.61571428571428,2.55925
04/2016,Week1,36.65,2.25875
04/2016,Week2,41.102000000000004,2.25875
04/2016,Week3,41.987599999999986,2.25875
04/2016,Week4,44.615,2.2587500000000005
04/2017,Week1,51.272000000000006,2.5947500000000003
04/2017,Week2,53.19249999999998,2.5947500000000003
04/2017,Week3,51.2512,2.5947500000000003
04/2017,Week4,49.34200000000001,2.5947500000000003
04/2018,Week1,63.097999999999985,2.9233999999999996
04/2018,Week2,66.042,2.9233999999999996
04/2018,Week3,67.58360000000002,2.9233999999999996
04/2018,Week4,68.20833333333331,2.9234
04/2019,Week1,62.55499999999999,2.9803999999999995
04/2019,Week2,64.09200000000001,2.9803999999999995
